Date,Open,High,Low,Close,Volume
2019-06-19,916.85,919.54,916.1,918.97,2876111905
2019-06-20,919.26,926.23,919.26,924.79,3448964982
2019-06-21,924.78,924.78,921.04,921.74,4035654063
2019-06-24,921.74,922.65,917.78,917.79,2706656368
2019-06-25,917.79,918.02,913.59,913.59,3115303452
2019-06-26,913.59,916.4,913.59,914.03,3003494046
2019-06-27,914.03,919.5,914.03,919.49,2706249214
2019-06-28,919.49,925.77,919.49,925.59,4006349531
2019-07-01,925.6,932.88,925.6,927.86,3033769726
2019-07-02,927.87,928.56,925.01,926.93,2801539967
2019-07-03,926.93,931.29,926.93,931.29,1756474207
2019-07-05,931.27,932.2,926.19,932.14,2119930388
2019-07-08,932.12,932.36,928.67,929.21,2561896054
2019-07-09,929.16,929.16,925.69,928.22,2592990543
2019-07-10,928.33,931.89,928.33,930.61,2822309438
2019-07-11,930.62,931.94,927.66,929.42,2814532471
2019-07-12,929.42,933.45,929.42,932.62,2647660427
2019-07-15,932.62,933.76,930.29,931.06,2529549245
2019-07-16,931.04,933.18,929.8,930.62,2893591242
2019-07-17,930.63,930.67,925.99,926,2867963740
2019-07-18,925.98,925.98,922.7,925.4,2940180662
2019-07-19,925.4,927.23,923.66,923.71,2869898068
2019-07-22,923.73,925.98,922.52,922.99,2619689976
2019-07-23,922.99,926.9,922.99,926.89,2889375934
2019-07-24,926.89,932.84,926.39,932.6,3025614049
2019-07-25,932.62,932.63,925.86,926.16,3181324833
2019-07-26,926.15,930.29,926.15,929.52,2871221238
2019-07-29,929.52,930.1,926,927.36,2804049760
2019-07-30,927.36,930.2,923.21,930.15,3207325989
2019-07-31,930.22,933.2,923.96,926.53,4009726468
2019-08-01,926.53,928.11,915.66,916.63,4233128148
2019-08-02,916.63,916.64,908.36,911.69,3310028370
2019-08-05,911.68,911.68,889.27,892.83,3949166390
2019-08-06,892.84,897.86,891.86,897.08,3565161291
2019-08-07,897.07,897.07,888.14,895.82,3899074805
2019-08-08,895.82,905.59,895.82,905.51,3493573883
2019-08-09,905.53,905.53,898.14,899.32,2915552473
2019-08-12,899.25,899.25,889.01,889.83,2410224742
2019-08-13,889.83,898.78,888.17,894.8,3186667723
2019-08-14,894.79,894.79,876.13,876.36,3705621246
2019-08-15,876.36,877.39,872.16,874.41,3538754938
2019-08-16,874.42,885.58,874.42,885.17,3001610525
2019-08-19,885.2,892.52,885.2,891.21,2786931363
2019-08-20,891.2,891.2,888.37,888.42,2625178346
2019-08-21,888.43,893.65,888.43,893.23,2260223741
2019-08-22,893.27,895.64,890.8,892.15,2518618725
2019-08-23,892.14,892.14,876.8,877.56,3284804062
2019-08-26,877.59,882.32,877.59,881.21,2520570025
2019-08-27,881.26,884.26,875.82,876.21,3078606673
2019-08-28,876.2,882.84,874.78,881.72,2708441139
2019-08-29,881.98,889.75,881.98,889.03,2821589935
2019-08-30,889.05,892.67,888.07,889.94,2626133831
2019-09-03,889.9,889.9,881.83,883.8,2995435554
2019-09-04,883.81,892.09,883.81,891.97,2796861172
2019-09-05,891.97,901.72,891.97,900.17,3453825486
2019-09-06,900.18,903.41,899.56,901.47,2843972298
2019-09-09,901.5,907.52,901.5,907.52,3523902666
2019-09-10,907.52,913.3,906.47,913.24,3874338063
2019-09-11,913.24,921.1,912.08,921.1,3489889579
2019-09-12,921.11,922.07,917.28,920.5,3306605365
2019-09-13,920.51,924.64,919.98,920.06,3102045942
2019-09-16,920.1,924.26,920.08,923.07,3820843966
2019-09-17,923.06,923.06,918.56,921.36,3205952677
2019-09-18,921.35,921.35,914.88,918.57,3006790997
2019-09-19,918.57,921.49,917.43,917.78,2888385280
2019-09-20,917.82,920.53,916.24,917.34,4712609372
2019-09-23,917.34,919.03,914.88,918,2714307129
2019-09-24,918,918.73,909.44,910.25,3315404579
2019-09-25,910.24,913.99,908.16,913.39,2863555601
2019-09-26,913.39,913.43,908.48,910.05,2720547075
2019-09-27,910.05,911.93,905.15,907.13,2804964054
2019-09-30,907.14,909.19,906.5,907.98,2798085353
2019-10-01,907.98,911.24,898.39,898.68,3130997081
2019-10-02,898.64,898.64,887.22,889.38,3382163570
2019-10-03,889.4,892.23,883.77,892.22,3029192119
2019-10-04,892.22,897.62,891.91,897.62,2651749849
2019-10-07,897.6,899.06,894.83,895.72,2499620566
2019-10-08,895.71,895.71,887.2,887.2,2768607851
2019-10-09,887.22,891.54,887.22,889.92,2363454946
2019-10-10,889.92,893.36,889.88,891.85,2719882403
2019-10-11,891.86,904.56,891.86,901.03,2925439888
2019-10-14,901.03,901.03,896.87,899.24,2200237831
2019-10-15,899.29,905.19,899.23,903.09,2855459052
2019-10-16,903.09,904.22,901.89,902.61,2781172453
2019-10-17,902.62,906.99,902.62,906.04,2707011710
2019-10-18,906.04,906.38,902.06,904.26,2763762357
2019-10-21,904.28,909.14,904.28,908.06,2853744848
2019-10-22,908.06,911.65,907.32,909.53,3090384606
